input,target
tutor: I am interested of learning languages.,"I am interested in learning languages. || Hint: Gioi tu sau tinh tu. 'Interested in' ung, khong dung 'of'"
tutor: She is very different to her sister.,"She is very different from her sister. || Hint: Gioi tu sau tinh tu. 'Different from' (hoac 'to' trong Anh-Anh nhung 'from' chuan hon), khong dung 'with'"
tutor: I am angry on you.,"I am angry with you. (hoặc at) || Hint: Gioi tu sau tinh tu. 'Angry with' (hoac 'at') chi gian ai, khong dung 'on'"
tutor: He is jealous with my success.,He is jealous of my success. || Hint: Gioi tu sau tinh tu. 'Jealous of' ung
tutor: I am keen in playing tennis.,I am keen on playing tennis. || Hint: Gioi tu sau tinh tu. 'Keen on' la ung
tutor: We are excited for the trip.,"We are excited about the trip. || Hint: Gioi tu sau tinh tu. 'Excited about' pho bien, 'excited for' cung uoc chap nhan nhung trong mot so ngu canh 'about' hay hon"
tutor: I am bored of staying home.,I am bored with staying home. || Hint: Gioi tu sau tinh tu. 'Bored with' (hoac 'bored of' cung uoc dung trong tieng Anh thong tuc)
tutor: She is proud for her son.,She is proud of her son. || Hint: Gioi tu sau tinh tu. 'Proud of' la ung
tutor: I am satisfied from the results.,I am satisfied with the results. || Hint: Gioi tu sau tinh tu. 'Satisfied with' la ung
tutor: This song is familiar with me.,This song is familiar to me. || Hint: Gioi tu sau tinh tu. 'Familiar to' nghia la quen thuoc voi ai; 'familiar with' nghia la ai o quen thuoc voi cai gi
tutor: I am allergic with peanuts.,I am allergic to peanuts. || Hint: Gioi tu sau tinh tu. 'Allergic to' ung
tutor: She is suitable to the job.,She is suitable for the job. || Hint: Gioi tu sau tinh tu. 'Suitable for' la ung
tutor: I am aware about the problem.,I am aware of the problem. || Hint: Gioi tu sau tinh tu. 'Aware of' la ung
tutor: The glass is full with water.,The glass is full of water. || Hint: Gioi tu sau tinh tu. 'Full of' la ung
tutor: I am grateful with your help.,I am grateful for your help. || Hint: Gioi tu sau tinh tu. 'Grateful for' chi long biet on ve ieu gi
tutor: She is nervous for the exam.,She is nervous about the exam. || Hint: Gioi tu sau tinh tu. 'Nervous about' la ung
tutor: He is patient to the children.,He is patient with the children. || Hint: Gioi tu sau tinh tu. 'Patient with' ung
tutor: I am kind with her.,I am kind to her. || Hint: Gioi tu sau tinh tu. 'Kind to someone' la ung
tutor: She is popular with her classmates. (đúng),She is popular with her classmates. || Hint: Khong loi. 'Popular with' la ung
tutor: We are ready to go. (đúng),We are ready to go. || Hint: Khong loi. 'Ready to V' la cau truc ung
tutor: I am serious for learning English.,I am serious about learning English. || Hint: Gioi tu sau tinh tu. 'Serious about' la ung
tutor: He is upset about the decision. (đúng),He is upset about the decision. || Hint: Khong loi. 'Upset about' ung
tutor: I depend in you.,I depend on you. || Hint: Gioi tu sau ong tu. 'Depend on' moi ung
tutor: She arrived to London safely.,"She arrived in London safely. || Hint: Gioi tu sau ong tu. 'Arrive in' cho thanh pho, at nuoc; 'arrive at' cho ia iem nho hon"
tutor: We will arrive to the hotel soon.,"We will arrive at the hotel soon. || Hint: Gioi tu sai. Voi khach san, dung 'arrive at'"
tutor: He applied a new job yesterday.,He applied for a new job yesterday. || Hint: Thieu gioi tu. 'Apply for' chi viec nop on xin viec
tutor: I am waiting you.,I am waiting for you. || Hint: Thieu gioi tu. 'Wait for' can gioi tu 'for'
tutor: She is searching her keys.,She is searching for her keys. || Hint: Thieu gioi tu. 'Search for' la tim kiem; 'search' khong co 'for' dung khi luc soat ia iem: 'search the house'
tutor: I asked for a glass of water. (đúng),I asked for a glass of water. || Hint: Khong loi. 'Ask for something' la yeu cau thu gi o
tutor: They are talking with each other. (đúng),They are talking to each other. (hoặc with) || Hint: Khong loi. 'Talk to/with' eu ung
tutor: I listen the radio every morning.,I listen to the radio every morning. || Hint: Thieu gioi tu. 'Listen to' moi ung
tutor: He never replies my emails.,He never replies to my emails. || Hint: Thieu gioi tu. 'Reply to' can co 'to'
tutor: I agree you.,I agree with you. || Hint: Thieu gioi tu. 'Agree with someone' moi ung
tutor: We argued about the money. (đúng),We argued about the money. || Hint: Khong loi. 'Argue about' ung
tutor: She apologized for her mistake. (đúng),She apologized for her mistake. || Hint: Khong loi. 'Apologize for' ung
tutor: I believe on you.,I believe in you. || Hint: Gioi tu sai. 'Believe in' chi niem tin vao ai/cai gi; 'believe' khong gioi tu la tin vao su that
tutor: We belong to this club. (đúng),We belong to this club. || Hint: Khong loi. 'Belong to' ung
tutor: I care about you. (đúng),I care about you. || Hint: Khong loi. 'Care about' ung
tutor: He is thinking to change his job.,He is thinking about changing his job. || Hint: Gioi tu va dang ong tu. 'Think about' i voi V-ing; khong dung 'think to change'
tutor: I dream of becoming a pilot. (đúng),I dream of becoming a pilot. (hoặc about) || Hint: Khong loi. 'Dream of/about' eu uoc
tutor: She suffers from headaches. (đúng),She suffers from headaches. || Hint: Khong loi. 'Suffer from' ung
tutor: I paid the meal.,I paid for the meal. || Hint: Thieu gioi tu. 'Pay for something' la tra tien cho cai gi o
tutor: Thank you for your help. (đúng),Thank you for your help. || Hint: Khong loi. 'Thank someone for' ung
tutor: He succeeded in passing the exam. (đúng),He succeeded in passing the exam. || Hint: Khong loi. 'Succeed in + V-ing' ung
tutor: We concentrated to the task.,We concentrated on the task. || Hint: Gioi tu sai. 'Concentrate on' la ung
tutor: She deals with complaints. (đúng),She deals with complaints. || Hint: Khong loi. 'Deal with' ung
tutor: He participated in the race. (đúng),He participated in the race. || Hint: Khong loi. 'Participate in' ung
tutor: I complained for the poor service.,I complained about the poor service. || Hint: Gioi tu sai. 'Complain about' la ung
tutor: They hope for a better future. (đúng),They hope for a better future. || Hint: Khong loi. 'Hope for' ung
tutor: The class consists in ten students.,The class consists of ten students. || Hint: Gioi tu sai. 'Consist of' la ung
tutor: I spend a lot of time for my hobbies.,I spend a lot of time on my hobbies. || Hint: Gioi tu sai. 'Spend time on something'
tutor: He insisted to go alone.,He insisted on going alone. || Hint: Gioi tu va dang ong tu. 'Insist on + V-ing'
tutor: We are looking forward to meet you.,"We are looking forward to meeting you. || Hint: Gioi tu va dang ong tu. 'Look forward to' co 'to' la gioi tu, theo sau la V-ing"
tutor: I'm thinking about buying a new car. (đúng),I'm thinking about buying a new car. || Hint: Khong loi. 'Think about + V-ing' ung
tutor: She is getting ready to leave. (đúng),She is getting ready to leave. || Hint: Khong loi. 'Get ready to V' ung
tutor: I had a breakfast at 7am.,I had breakfast at 7am. || Hint: Sai mao tu. 'Have breakfast' khong dung mao tu
tutor: He goes to the bed at 9pm.,He goes to bed at 9pm. || Hint: Sai mao tu. 'Go to bed' khong co 'the'
tutor: She went to the church last Sunday.,"She went to church last Sunday. || Hint: Sai mao tu. 'Go to church' la i le, khong can 'the'"
tutor: I am learning to play the guitar. (đúng),I am learning to play the guitar. || Hint: Khong loi. Nhac cu thuong dung 'the'
tutor: I watched the television all night.,I watched television all night. || Hint: Sai mao tu. 'Watch television' khong dung 'the'
tutor: I heard the news on radio.,I heard the news on the radio. || Hint: Thieu mao tu. 'Listen to the radio' luon co 'the'
tutor: We went to the cinema last night. (đúng),We went to the cinema last night. || Hint: Khong loi. 'Go to the cinema' dung 'the'
tutor: I am going to the home.,I am going home. || Hint: Sai mao tu va gioi tu. 'Go home' khong co 'to' hay 'the'
tutor: Let's go to the shopping.,Let's go shopping. || Hint: Sai cau truc. 'Go shopping' khong co 'to'
tutor: We went to a swimming yesterday.,"We went swimming yesterday. || Hint: Sai cau truc. 'Go swimming', khong can mao tu"
tutor: He is in the hospital because he is sick. (American English),"He is in the hospital because he is sick. (US) hoặc He is in hospital (UK). || Hint: Khong loi (tuy bien the). Anh-My dung 'the hospital', Anh-Anh khong dung 'the'"
tutor: I read the news on internet.,I read the news on the internet. || Hint: Thieu mao tu. 'On the internet' luon co 'the'
tutor: I saw it in the TV.,"I saw it on TV. || Hint: Gioi tu sai va mao tu. 'On TV' khong co 'the', dung gioi tu 'on'"
tutor: She is on the work now.,She is at work now. || Hint: Gioi tu va mao tu sai. 'At work' khong dung 'the'
tutor: I take a shower every morning. (đúng),"I take a shower every morning. || Hint: Khong loi. 'Take a shower' la ung, cung co the 'have a shower'"
tutor: I had a headache yesterday. (đúng),I had a headache yesterday. || Hint: Khong loi. 'Have a headache' ung
tutor: I got married last year. (đúng),I got married last year. || Hint: Khong loi. 'Get married' ung
tutor: She had a baby last month. (đúng),She had a baby last month. || Hint: Khong loi. 'Have a baby' ung
tutor: I got a chance to meet him. (đúng),I got a chance to meet him. || Hint: Khong loi. 'Get a chance' ung
tutor: I took a cold last week.,"I caught a cold last week. || Hint: Ket hop tu. 'Catch a cold' moi ung, khong dung 'take'"
tutor: I made a lot of photos at the wedding.,"I took a lot of photos at the wedding. || Hint: Ket hop tu. 'Take photos', khong dung 'make photos'"
tutor: We made a party for his birthday.,"We had a party for his birthday. || Hint: Ket hop tu. 'Have a party' hoac 'throw a party', khong dung 'make a party'"
tutor: She did a very good speech.,"She made a very good speech. || Hint: Ket hop tu. 'Make a speech', khong dung 'do a speech'"
tutor: He made a joke and everyone laughed. (đúng),He made a joke and everyone laughed. || Hint: Khong loi. 'Make a joke' ung
tutor: I need to make a complaint about the service.,I need to make a complaint about the service. || Hint: Khong loi. 'Make a complaint' ung
tutor: You should do an effort if you want to succeed.,"You should make an effort if you want to succeed. || Hint: Ket hop tu. 'Make an effort', khong dung 'do'"
tutor: I did a strange dream last night.,"I had a strange dream last night. || Hint: Ket hop tu. 'Have a dream', khong dung 'do'"
tutor: He did a lot of friends at university.,"He made a lot of friends at university. || Hint: Ket hop tu. 'Make friends', khong dung 'do'"
tutor: She makes business with companies overseas.,She does business with companies overseas. || Hint: Ket hop tu. 'Do business' la ung
tutor: I did a good decision.,"I made a good decision. || Hint: Ket hop tu. 'Make a decision', khong 'do'"
tutor: We must do a plan before starting.,"We must make a plan before starting. || Hint: Ket hop tu. 'Make a plan', khong 'do'"
tutor: She makes yoga every morning.,"She does yoga every morning. || Hint: Ket hop tu. 'Do yoga', khong dung 'make'"
tutor: I did a quick decision.,I made a quick decision. || Hint: Ket hop tu. 'Make a decision'
tutor: Let's make a break.,Let's take a break. || Hint: Ket hop tu. 'Take a break' la ung
tutor: I need to take a phone call.,"I need to make a phone call. || Hint: Ket hop tu. 'Make a phone call', con 'take a call' nghia la nhan cuoc goi"
tutor: Can I take your picture? (đúng),Can I take your picture? || Hint: Khong loi. 'Take a picture' ung
tutor: I will make a look at the document.,I will have a look at the document. || Hint: Ket hop tu. 'Have a look' la ung
tutor: We had a talk about the project. (đúng),"We had a talk about the project. || Hint: Khong loi. 'Have a talk' cung ung, nhung co the dung 'discuss' e trang trong hon"
tutor: I made a shower before dinner.,"I took a shower before dinner. || Hint: Ket hop tu. 'Take a shower', khong dung 'make'"
tutor: She got a bath and relaxed.,She took a bath and relaxed. || Hint: Ket hop tu. 'Take a bath'; 'get a bath' it dung
tutor: I have to take my homework.,"I have to do my homework. || Hint: Ket hop tu. 'Do homework', khong dung 'take'"
tutor: He did a very good impression on me.,He made a very good impression on me. || Hint: Ket hop tu. 'Make an impression'
tutor: I made a lot of exercises for grammar.,I did a lot of exercises for grammar. || Hint: Ket hop tu. 'Do exercises'
tutor: We need to do a reservation for the restaurant.,We need to make a reservation for the restaurant. || Hint: Ket hop tu. 'Make a reservation'
tutor: She always makes the shopping on Saturdays.,She always does the shopping on Saturdays. || Hint: Ket hop tu. 'Do the shopping' (mua sam o dung hang ngay)
tutor: I did a delicious cake for the party.,I made a delicious cake for the party. || Hint: Ket hop tu. 'Make a cake' (nuong/lam banh)
tutor: He made a favor for me when I moved.,He did me a favor when I moved. || Hint: Ket hop tu. 'Do someone a favor'
tutor: I want to tell a suggestion.,"I want to make a suggestion. || Hint: Ket hop tu. 'Make a suggestion', khong dung 'tell'"
tutor: She told me a story. (đúng),She told me a story. || Hint: Khong loi. 'Tell a story' ung
tutor: He said me goodbye.,"He said goodbye to me. || Hint: Dung sai ong tu. 'Say goodbye to someone', khong dung 'said me'"
tutor: I need to say you something.,"I need to tell you something. || Hint: Dung sai ong tu. 'Tell someone something', khong dung 'say'"
tutor: She told that she was leaving.,She said that she was leaving. || Hint: Dung sai ong tu. 'Say that...' khong can tan ngu; 'tell' can tan ngu: 'tell someone that...'
tutor: He asked me that if I was okay.,"He asked me if I was okay. || Hint: Thua tu. 'Ask if/whether', khong can 'that'"
tutor: I want to discuss about the contract.,I want to discuss the contract. || Hint: Thua gioi tu. 'Discuss something'
tutor: We entered into the room quietly.,"We entered the room quietly. || Hint: Thua gioi tu. 'Enter' la ngoai ong tu, khong can 'into'"
tutor: She married with a doctor.,"She married a doctor. || Hint: Thua gioi tu. 'Marry someone', khong dung 'with'"
tutor: I called to my mother last night.,I called my mother last night. || Hint: Thua gioi tu. 'Call someone' khong can 'to'
tutor: He told to me a secret.,"He told me a secret. || Hint: Thua gioi tu. 'Tell someone something', khong co 'to'"
tutor: I asked to her for help.,I asked her for help. || Hint: Thua gioi tu. 'Ask someone' khong can 'to'
tutor: We reached to the station late.,"We reached the station late. || Hint: Thua gioi tu. 'Reach' truc tiep i voi ia iem, khong 'to'"
tutor: I attended to the meeting yesterday.,"I attended the meeting yesterday. || Hint: Thua gioi tu. 'Attend' la ngoai ong tu, khong can 'to'"
tutor: She lacks of experience.,"She lacks experience. || Hint: Thua gioi tu. 'Lack' la ngoai ong tu, khong can 'of'"
tutor: We emphasized on the importance of safety.,We emphasized the importance of safety. || Hint: Thua gioi tu. 'Emphasize' khong can 'on'
tutor: The book comprises of ten chapters.,The book comprises ten chapters. || Hint: Thua gioi tu. 'Comprise' khong i voi 'of'
tutor: I am concerned about the environment. (đúng),I am concerned about the environment. || Hint: Khong loi. 'Concerned about' ung
tutor: She is worried for her son.,She is worried about her son. || Hint: Gioi tu sau tinh tu. 'Worried about'
tutor: He is sorry about the delay. (đúng),"He is sorry about the delay. || Hint: Khong loi. 'Sorry about' ung, 'sorry for' cung uoc"
tutor: I am ashamed for my behavior.,I am ashamed of my behavior. || Hint: Gioi tu sau tinh tu. 'Ashamed of' moi ung
tutor: They are engaged to each other.,They are engaged to each other. (đúng) hoặc engaged with? || Hint: Ket hop tu. 'Engaged to' chi inh hon; 'engaged in' chi tham gia
tutor: I am terrified from spiders.,I am terrified of spiders. || Hint: Gioi tu sau tinh tu. 'Terrified of'
tutor: She is fascinated with ancient history. (có thể dùng 'with'),"She is fascinated by ancient history. || Hint: Gioi tu sau tinh tu. 'Fascinated by' pho bien hon, 'fascinated with' cung uoc dung"
tutor: I am impressed by his dedication. (đúng),I am impressed by his dedication. || Hint: Khong loi. 'Impressed by/with' eu ung
tutor: She is limited with her time.,She is limited in her time. || Hint: Gioi tu sau tinh tu. 'Limited in' chi han che ve mat gi o
tutor: He is involved in the project. (đúng),He is involved in the project. || Hint: Khong loi. 'Involved in' ung
tutor: I am associated to that company.,I am associated with that company. || Hint: Gioi tu sai. 'Associated with'
tutor: She is connected with the scandal. (đúng),She is connected with the scandal. || Hint: Khong loi. 'Connected with/to' eu uoc
tutor: I am delighted with the news. (đúng),"I am delighted with the news. || Hint: Khong loi. 'Delighted with' ung, 'delighted at' cung uoc"
tutor: He is disappointed of his score.,He is disappointed with his score. || Hint: Gioi tu sai. 'Disappointed with' (hoac 'in'/'by') chu khong dung 'of'
tutor: I am sorry for being late. (đúng),I am sorry for being late. || Hint: Khong loi. 'Sorry for + V-ing' ung
tutor: We discussed about the plan.,We discussed the plan. || Hint: Thua gioi tu. 'Discuss' khong can 'about'
tutor: I focus on my career. (đúng),I focus on my career. || Hint: Khong loi. 'Focus on' ung
tutor: Please reply my email soon.,Please reply to my email soon. || Hint: Thieu gioi tu. 'Reply to'
tutor: He agreed with my decision. (đúng),He agreed with my decision. || Hint: Khong loi. 'Agree with' chi ong y voi ai/y kien; 'agree to' chi ong y voi loi e nghi
tutor: I complained the manager about the noise.,I complained to the manager about the noise. || Hint: Thieu gioi tu. 'Complain to someone about something'
tutor: She argued me about the price.,She argued with me about the price. || Hint: Thieu gioi tu. 'Argue with someone'
tutor: He listened the music loudly.,He listened to the music loudly. || Hint: Thieu gioi tu. 'Listen to'
tutor: I play piano. (có thể dùng không có 'the'),"I play the piano. || Hint: Thieu mao tu. Nhac cu thuong dung 'the', du trong Anh-Anh co the khong co 'the'"
tutor: She is in charge for the department.,She is in charge of the department. || Hint: Gioi tu sai. 'In charge of' ung
tutor: I am on charge of this project. (sai),"I am in charge of this project. || Hint: Gioi tu sai. 'In charge of', khong dung 'on'"
tutor: It depends of the weather.,It depends on the weather. || Hint: Gioi tu sai. 'Depend on'
tutor: I'm sorry for interrupt you.,"I'm sorry for interrupting you. || Hint: Dang ong tu sau gioi tu. Sau gioi tu, ong tu phai o dang V-ing"
tutor: I look forward to hear from you.,I look forward to hearing from you. || Hint: Gioi tu va dang ong tu. 'Look forward to + V-ing'
tutor: He spends too much time on playing games. (có thể dùng V-ing),"He spends too much time playing games. || Hint: Cau truc 'spend time'. 'Spend time + V-ing', khong can 'on' truoc V-ing"
tutor: I had difficulty to find the place.,"I had difficulty finding the place. || Hint: Cau truc voi difficulty. 'Have difficulty (in) + V-ing', khong dung 'to'"
tutor: There is no point to argue.,There is no point in arguing. || Hint: Cau truc co inh. 'There is no point in + V-ing'
tutor: I am used to get up early.,I am used to getting up early. || Hint: Cau truc 'be used to'. 'Be used to + V-ing' (quen voi viec gi)
tutor: She is accustomed with the hot weather.,She is accustomed to the hot weather. || Hint: Gioi tu sai. 'Accustomed to'
tutor: He prevented me to go.,He prevented me from going. || Hint: Cau truc 'prevent'. 'Prevent someone from doing something'
tutor: I suggest to go out for dinner.,"I suggest going out for dinner. || Hint: Cau truc sau 'suggest'. 'Suggest + V-ing', khong dung 'to V'"
tutor: She recommended me to read that book.,"She recommended that I read that book. || Hint: Cau truc 'recommend'. 'Recommend that someone do something', khong dung 'recommend someone to do' trong tieng Anh chuan"
tutor: I enjoyed to listen to the concert.,I enjoyed listening to the concert. || Hint: Dang ong tu sau 'enjoy'. 'Enjoy + V-ing'
tutor: He denied to steal the money.,He denied stealing the money. || Hint: Dang ong tu sau 'deny'. 'Deny + V-ing'
tutor: I finished to write the report.,I finished writing the report. || Hint: Dang ong tu sau 'finish'. 'Finish + V-ing'
tutor: We postponed to go on holiday.,We postponed going on holiday. || Hint: Dang ong tu sau 'postpone'. 'Postpone + V-ing'
tutor: She avoids to speak to him.,She avoids speaking to him. || Hint: Dang ong tu sau 'avoid'. 'Avoid + V-ing'
tutor: I don't mind to help you.,I don't mind helping you. || Hint: Dang ong tu sau 'mind'. 'Mind + V-ing'
tutor: He risked to lose his job.,He risked losing his job. || Hint: Dang ong tu sau 'risk'. 'Risk + V-ing'
tutor: I am considering to move abroad.,I am considering moving abroad. || Hint: Dang ong tu sau 'consider'. 'Consider + V-ing'
tutor: He admitted to break the vase.,He admitted breaking the vase. || Hint: Dang ong tu sau 'admit'. 'Admit + V-ing'
tutor: I miss to see my family.,I miss seeing my family. || Hint: Dang ong tu sau 'miss'. 'Miss + V-ing'
tutor: She can't stand to listen to loud music.,She can't stand listening to loud music. || Hint: Dang ong tu sau 'can't stand'. 'Can't stand + V-ing'
tutor: I gave up to smoke last year.,I gave up smoking last year. || Hint: Cum ong tu va dang ong tu. 'Give up + V-ing'
tutor: He kept on to work despite being tired.,He kept on working despite being tired. || Hint: Cum ong tu va dang ong tu. 'Keep on + V-ing'
tutor: I look forward to meet you.,I look forward to meeting you. || Hint: Gioi tu 'to' va V-ing. 'Look forward to + V-ing'
